"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J1, J2, J3, J4, J5, J6, J7, J8";"SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount";8;"Conn_Coaxial";;;
2;"R1, R2, R3, R4";"R_0805_2012Metric";4;"3.3k";;;
3;"R5, R6, R7, R9, R10, R11, R18, R19, R20, R21, R22, R23, R30, R31, R32, R33, R34, R35, R41, R42, R43, R44, R45, R46, R53, R54, R55, R56, R57, R58, R67, R68, R69, R70, R71, R72, R97, R103";"R_0805_2012Metric";38;"1";;;
4;"R8, R25";"R_0603_1608Metric";2;"97.6";;;
5;"R12, R28";"R_0603_1608Metric";2;"6.98k";;;
6;"R13, R14, R15, R16, R24, R26, R27, R29, R36, R38, R39, R40, R49, R50, R51, R52, R59, R60, R61, R63";"R_0805_2012Metric";20;"1.8k";;;
7;"R17";"R_0603_1608Metric";1;"71.5";;;
8;"R37";"R_0603_1608Metric";1;"0";;;
9;"R47, R48";"R_0603_1608Metric";2;"dnp";;;
10;"R62, R65, R73, R75, R127, R128, R129, R130, R135, R136, R137, R138, R139, R140, R141, R142";"R_0805_2012Metric";16;"180";;;
11;"R64, R66, R74, R76";"R_0805_2012Metric";4;"680";;;
12;"R77, R82, R83, R88, R89, R90, R91, R92, R119, R120, R121, R124";"R_0805_2012Metric";12;"220";;;
13;"R78, R79, R80, R81, R84, R85, R86, R87";"R_0805_2012Metric";8;"2.2";;;
14;"R93, R94, R95, R96, R99, R100, R101, R102, R114, R118";"R_0805_2012Metric";10;"3.3";;;
15;"R98, R104, R105, R106, R107, R108, R109, R110";"R_0805_2012Metric";8;"150";;;
16;"R111, R112, R113, R115, R116, R117";"R_0805_2012Metric";6;"4.7";;;
17;"R122, R123, R125, R126, R131, R132, R133, R134";"R_0805_2012Metric";8;"15";;;
